language,file,channel,termid,term,ref_bt,ref_et,sys_bt,sys_et,sys_score,sys_decision,alignment
sa_english,afr_parliament_clip,1,KW000-00001,elkeen,0.480,0.9600,0.45,0.96,1,YES,CORR
sa_english,afr_parliament_clip,1,KW000-00002,gevoel,2.050,2.5200,2.01,2.52,1,YES,CORR
